car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
U15,BLK 231/237 BUKIT BATOK EAST AVENUE 5,19332.5650,36778.3610,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N,1.348884,103.755436
U16,BLK 238/241 BUKIT BATOK EAST AVENUE 5,19291.0823,36949.9677,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N,1.350436,103.755063
U17,BLK 242/253 BUKIT BATOK EAST AVE 2/5,19484.9573,36912.4024,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N,1.350096,103.756806
U18,BLK 254/265 BUKIT BATOK EAST AVE 4,19699.5049,37022.2461,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N,1.351089,103.758733
U19,BLK 266/284 BUKIT BATOK EAST AVE 3/4,19653.7625,36736.2392,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,4.50,N,1.348503,103.758322
U2,BLK 111/132 BUKIT BATOK WEST AVE 6,18316.8368,36887.7302,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.349872,103.746309
U20,BUKIT BATOK EAST AVE 2/6,19895.4902,36584.6445,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N,1.347132,103.760495
U21,BLK 301/309 BUKIT BATOK STREET 31,18569.9729,37715.1464,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N,1.357355,103.748584
U22,BLK 310/323 BUKIT BATOK STREET 32/33,18339.7245,38092.0958,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.360764,103.746515
U23,BLK 407-426 BUKIT BATOK WEST AVE 2/4,18234.0951,38341.6520,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0.00,N,1.363021,103.745565
U24,BLK 324/336 BUKIT BATOK STREET 32/33,18465.5800,38439.7002,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,4.50,N,1.363908,103.747645
U24T,BLK 333/334 BUKIT BATOK WEST AVE 4,18441.4863,38506.9696,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,9.99,N,1.364516,103.747429
U25,BLK 337-353/355-356 BUKIT BATOK ST 34,18728.7311,38350.9289,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.363105,103.750010
U26,BLK 354/357-370 BUKIT BATOK ST 31,18742.2400,38064.6600,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.360516,103.750131
U27,BLK 371-373 BUKIT BATOK ST 31,18846.1378,37962.5676,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.359593,103.751065
U28,BLK 374-376 BUKIT BATOK ST 31,18790.0520,37772.6738,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N,1.357876,103.750561
U29,BLK 376 BUKIT BATOK MSCP,18649.5445,37851.9011,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3,1.90,N,1.358592,103.749299
U3,BLK 133/139 BUKIT BATOK WEST AVENUE 6,18098.9773,37055.7538,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.351392,103.744352
U30,BLK 523-525 BUKIT BATOK STREET 52,19027.5388,37666.3629,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.356914,103.752695
U31,BLKS 526-534 BUKIT BATOK STREET 51,18847.0784,37666.2614,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.356913,103.751074
U32,BLKS 512-514 BUKIT BATOK STREET 52,19018.5011,37355.1895,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N,1.354100,103.752614
U33,BLKS 535-542 BUKIT BATOK STREET 51/52,18873.0414,37452.2798,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.354978,103.751307
U34,BLKS 501-511 BUKIT BATOK ST 52,19139.7066,37093.5044,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.351734,103.753703
U36,BLKS 2019-2024 BUKIT BATOK STREET 23,18937.3455,36228.7505,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.343913,103.751885
U38,BLK 185/187 BUKIT BATOK WEST AVENUE 6,18124.0483,36539.8249,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N,1.346726,103.744577
